Year,Preceding year,Residence,Province,District,Mothers Education,Wealth quantile,Childs sex,Mothers age at Birth,Birth order,Previous birth interval,GeoCode,Value
2014-15,,,Southern Province,Nyanza,,,,,,,21.0,62
2014-15,,,Southern Province,Gisagara,,,,,,,22.0,104
2014-15,,,Southern Province,Nyaruguru,,,,,,,23.0,77
2014-15,,,Southern Province,Huye,,,,,,,24.0,61
2014-15,,,Southern Province,Nyamagabe,,,,,,,25.0,52
2014-15,,,Southern Province,Ruhango,,,,,,,26.0,62
2014-15,,,Southern Province,Muhanga,,,,,,,27.0,41
2014-15,,,Southern Province,Kamonyi,,,,,,,28.0,58
2014-15,,,Western Province,Karongi,,,,,,,31.0,65
2014-15,,,Western Province,Rutsiro,,,,,,,32.0,79
2014-15,,,Western Province,Rubavu,,,,,,,33.0,77
2014-15,,,Western Province,Nyabihu,,,,,,,34.0,62
2014-15,,,Western Province,Ngororero,,,,,,,35.0,78
2014-15,,,Western Province,Rusizi,,,,,,,36.0,61
2014-15,,,Western Province,Nyamasheke,,,,,,,37.0,17
2014-15,,,Northern Province,Rulindo,,,,,,,41.0,59
2014-15,,,Northern Province,Gakenke,,,,,,,42.0,64
2014-15,,,Northern Province,Musanze,,,,,,,43.0,67
2014-15,,,Northern Province,Burera,,,,,,,44.0,52
2014-15,,,Northern Province,Gicumbi,,,,,,,45.0,58
2014-15,,,Eastern Province,Rwamagana,,,,,,,51.0,74
2014-15,,,Eastern Province,Nyagatare,,,,,,,52.0,95
2014-15,,,Eastern Province,Gatsibo,,,,,,,53.0,99
2014-15,,,Eastern Province,Kayonza,,,,,,,54.0,96
2014-15,,,Eastern Province,Kirehe,,,,,,,55.0,87
2014-15,,,Eastern Province,Ngoma,,,,,,,56.0,75
2014-15,,,Eastern Province,Bugesera,,,,,,,57.0,68
