Year,Units,Province,District,Urban/Rural,GeoCode,Value
2013,Percentage (%) of the population living in extreme poverty,Kigali city,Nyarugenge,,,8.4
2016,Percentage (%) of the population living in poverty,Kigali city,Nyarugenge,,11,11.8
2016,Percentage (%) of the population living in extreme poverty,Kigali city,Nyarugenge,,,4.6
2010,Percentage (%) of the population living in poverty,Kigali city,Gasabo,,12,26
2010,Percentage (%) of the population living in extreme poverty,Kigali city,Gasabo,,,13.2
2013,Percentage (%) of the population living in poverty,Kigali city,Gasabo,,12,23.4
2013,Percentage (%) of the population living in extreme poverty,Kigali city,Gasabo,,,11.3
2016,Percentage (%) of the population living in poverty,Kigali city,Gasabo,,12,15.8
2016,Percentage (%) of the population living in extreme poverty,Kigali city,Gasabo,,,4.5
2010,Percentage (%) of the population living in poverty,Kigali city,Kicukiro,,13,8.3
2010,Percentage (%) of the population living in extreme poverty,Kigali city,Kicukiro,,,2.8
2013,Percentage (%) of the population living in poverty,Kigali city,Kicukiro,,13,16.3
2013,Percentage (%) of the population living in extreme poverty,Kigali city,Kicukiro,,,6.5
2016,Percentage (%) of the population living in poverty,Kigali city,Kicukiro,,13,11.4
2016,Percentage (%) of the population living in extreme poverty,Kigali city,Kicukiro,,,3.5
2010,Percentage (%) of the population living in poverty,Southern Province,Nyanza,,21,49.8
2010,Percentage (%) of the population living in extreme poverty,Southern Province,Nyanza,,,28
2013,Percentage (%) of the population living in poverty,Southern Province,Nyanza,,21,38
2013,Percentage (%) of the population living in extreme poverty,Southern Province,Nyanza,,,17.6
2016,Percentage (%) of the population living in poverty,Southern Province,Nyanza,,21,46.5
2016,Percentage (%) of the population living in extreme poverty,Southern Province,Nyanza,,,16
2010,Percentage (%) of the population living in poverty,Southern Province,Gisagara,,22,59.4
2010,Percentage (%) of the population living in extreme poverty,Southern Province,Gisagara,,,32.1
2013,Percentage (%) of the population living in poverty,Southern Province,Gisagara,,22,53.3
2013,Percentage (%) of the population living in extreme poverty,Southern Province,Gisagara,,,20.6
2016,Percentage (%) of the population living in poverty,Southern Province,Gisagara,,22,55.6
2016,Percentage (%) of the population living in extreme poverty,Southern Province,Gisagara,,,25.6
2010,Percentage (%) of the population living in poverty,Southern Province,Nyaruguru,,23,61.6
2010,Percentage (%) of the population living in extreme poverty,Southern Province,Nyaruguru,,,35.4
2013,Percentage (%) of the population living in poverty,Southern Province,Nyaruguru,,23,47.9
2013,Percentage (%) of the population living in extreme poverty,Southern Province,Nyaruguru,,,20
2016,Percentage (%) of the population living in poverty,Southern Province,Nyaruguru,,23,52.4
2016,Percentage (%) of the population living in extreme poverty,Southern Province,Nyaruguru,,,28.1
2010,Percentage (%) of the population living in poverty,Southern Province,Huye,,24,46.6
2010,Percentage (%) of the population living in extreme poverty,Southern Province,Huye,,,25.2
2013,Percentage (%) of the population living in poverty,Southern Province,Huye,,24,32.5
2013,Percentage (%) of the population living in extreme poverty,Southern Province,Huye,,,5.7
2016,Percentage (%) of the population living in poverty,Southern Province,Huye,,24,40.2
2016,Percentage (%) of the population living in extreme poverty,Southern Province,Huye,,,12.9
2010,Percentage (%) of the population living in poverty,Southern Province,Nyamagabe,,25,73.3
2010,Percentage (%) of the population living in extreme poverty,Southern Province,Nyamagabe,,,45.2
2013,Percentage (%) of the population living in poverty,Southern Province,Nyamagabe,,25,41.5
2013,Percentage (%) of the population living in extreme poverty,Southern Province,Nyamagabe,,,13
2016,Percentage (%) of the population living in poverty,Southern Province,Nyamagabe,,25,48.6
2016,Percentage (%) of the population living in extreme poverty,Southern Province,Nyamagabe,,,17.7
2010,Percentage (%) of the population living in poverty,Southern Province,Ruhango,,26,60.4
2010,Percentage (%) of the population living in extreme poverty,Southern Province,Ruhango,,,32.2
2013,Percentage (%) of the population living in poverty,Southern Province,Ruhango,,26,37.8
2013,Percentage (%) of the population living in extreme poverty,Southern Province,Ruhango,,,12.8
2016,Percentage (%) of the population living in poverty,Southern Province,Ruhango,,26,38
2016,Percentage (%) of the population living in extreme poverty,Southern Province,Ruhango,,,15
2010,Percentage (%) of the population living in poverty,Southern Province,Muhanga,,27,53.6
2010,Percentage (%) of the population living in extreme poverty,Southern Province,Muhanga,,,26.2
2013,Percentage (%) of the population living in poverty,Southern Province,Muhanga,,27,30.5
2013,Percentage (%) of the population living in extreme poverty,Southern Province,Muhanga,,,7.8
2016,Percentage (%) of the population living in poverty,Southern Province,Muhanga,,27,32.6
2016,Percentage (%) of the population living in extreme poverty,Southern Province,Muhanga,,,13.8
2010,Percentage (%) of the population living in poverty,Southern Province,Kamonyi,,28,46.7
2010,Percentage (%) of the population living in extreme poverty,Southern Province,Kamonyi,,,23.9
2013,Percentage (%) of the population living in poverty,Southern Province,Kamonyi,,28,25.9
2013,Percentage (%) of the population living in extreme poverty,Southern Province,Kamonyi,,,6
2016,Percentage (%) of the population living in poverty,Southern Province,Kamonyi,,28,22.3
2016,Percentage (%) of the population living in extreme poverty,Southern Province,Kamonyi,,,8.7
2010,Percentage (%) of the population living in poverty,Western Province,Karongi,,31,61.7
2010,Percentage (%) of the population living in extreme poverty,Western Province,Karongi,,,39.8
2013,Percentage (%) of the population living in poverty,Western Province,Karongi,,31,45.3
2013,Percentage (%) of the population living in extreme poverty,Western Province,Karongi,,,21.3
2016,Percentage (%) of the population living in poverty,Western Province,Karongi,,31,52.7
2016,Percentage (%) of the population living in extreme poverty,Western Province,Karongi,,,21.3
2010,Percentage (%) of the population living in poverty,Western Province,Rutsiro,,32,53
2010,Percentage (%) of the population living in extreme poverty,Western Province,Rutsiro,,,26.1
2013,Percentage (%) of the population living in poverty,Western Province,Rutsiro,,32,51.4
2013,Percentage (%) of the population living in extreme poverty,Western Province,Rutsiro,,,23.6
2016,Percentage (%) of the population living in poverty,Western Province,Rutsiro,,32,49.5
2016,Percentage (%) of the population living in extreme poverty,Western Province,Rutsiro,,,24.4
2010,Percentage (%) of the population living in poverty,Western Province,Rubavu,,33,35.8
2010,Percentage (%) of the population living in extreme poverty,Western Province,Rubavu,,,19
2013,Percentage (%) of the population living in poverty,Western Province,Rubavu,,33,35.5
2013,Percentage (%) of the population living in extreme poverty,Western Province,Rubavu,,,14.2
2016,Percentage (%) of the population living in poverty,Western Province,Rubavu,,33,35.7
2016,Percentage (%) of the population living in extreme poverty,Western Province,Rubavu,,,14.6
2010,Percentage (%) of the population living in poverty,Western Province,Nyabihu,,34,28.6
2010,Percentage (%) of the population living in extreme poverty,Western Province,Nyabihu,,,11.9
2013,Percentage (%) of the population living in poverty,Western Province,Nyabihu,,34,39.6
2013,Percentage (%) of the population living in extreme poverty,Western Province,Nyabihu,,,12.6
2016,Percentage (%) of the population living in poverty,Western Province,Nyabihu,,34,46.8
2016,Percentage (%) of the population living in extreme poverty,Western Province,Nyabihu,,,18
2010,Percentage (%) of the population living in poverty,Western Province,Ngororero,,35,51.9
2010,Percentage (%) of the population living in extreme poverty,Western Province,Ngororero,,,29.5
2013,Percentage (%) of the population living in poverty,Western Province,Ngororero,,35,49.6
2013,Percentage (%) of the population living in extreme poverty,Western Province,Ngororero,,,23.5
2016,Percentage (%) of the population living in poverty,Western Province,Ngororero,,35,47.7
2016,Percentage (%) of the population living in extreme poverty,Western Province,Ngororero,,,20.8
2010,Percentage (%) of the population living in poverty,Western Province,Rusizi,,36,45
2010,Percentage (%) of the population living in extreme poverty,Western Province,Rusizi,,,24.5
2013,Percentage (%) of the population living in poverty,Western Province,Rusizi,,36,35.1
2013,Percentage (%) of the population living in extreme poverty,Western Province,Rusizi,,,15.8
2016,Percentage (%) of the population living in poverty,Western Province,Rusizi,,36,33.5
2016,Percentage (%) of the population living in extreme poverty,Western Province,Rusizi,,,12.8
2010,Percentage (%) of the population living in poverty,Western Province,Nyamasheke,,37,63.4
2010,Percentage (%) of the population living in extreme poverty,Western Province,Nyamasheke,,,40.6
2013,Percentage (%) of the population living in poverty,Western Province,Nyamasheke,,37,62
2013,Percentage (%) of the population living in extreme poverty,Western Province,Nyamasheke,,,39.2
2016,Percentage (%) of the population living in poverty,Western Province,Nyamasheke,,37,69.3
2016,Percentage (%) of the population living in extreme poverty,Western Province,Nyamasheke,,,41.5
2010,Percentage (%) of the population living in poverty,Northern Province,Rulindo,,41,42.9
2010,Percentage (%) of the population living in extreme poverty,Northern Province,Rulindo,,,19.7
2013,Percentage (%) of the population living in poverty,Northern Province,Rulindo,,41,48.1
2013,Percentage (%) of the population living in extreme poverty,Northern Province,Rulindo,,,20.2
2016,Percentage (%) of the population living in poverty,Northern Province,Rulindo,,41,54.2
2016,Percentage (%) of the population living in extreme poverty,Northern Province,Rulindo,,,23.2
2010,Percentage (%) of the population living in poverty,Northern Province,Gakenke,,42,56.6
2010,Percentage (%) of the population living in extreme poverty,Northern Province,Gakenke,,,30.9
2013,Percentage (%) of the population living in poverty,Northern Province,Gakenke,,42,42
2013,Percentage (%) of the population living in extreme poverty,Northern Province,Gakenke,,,16.2
2016,Percentage (%) of the population living in poverty,Northern Province,Gakenke,,42,34.2
2016,Percentage (%) of the population living in extreme poverty,Northern Province,Gakenke,,,13.1
2010,Percentage (%) of the population living in poverty,Northern Province,Musanze,,43,20.1
2010,Percentage (%) of the population living in extreme poverty,Northern Province,Musanze,,,5.9
2013,Percentage (%) of the population living in poverty,Northern Province,Musanze,,43,34.9
2013,Percentage (%) of the population living in extreme poverty,Northern Province,Musanze,,,16.8
2016,Percentage (%) of the population living in poverty,Northern Province,Musanze,,43,40.7
2016,Percentage (%) of the population living in extreme poverty,Northern Province,Musanze,,,18.1
2010,Percentage (%) of the population living in poverty,Northern Province,Burera,,44,45.2
2010,Percentage (%) of the population living in extreme poverty,Northern Province,Burera,,,23.4
2013,Percentage (%) of the population living in poverty,Northern Province,Burera,,44,50.4
2013,Percentage (%) of the population living in extreme poverty,Northern Province,Burera,,,23
2016,Percentage (%) of the population living in poverty,Northern Province,Burera,,44,49.8
2016,Percentage (%) of the population living in extreme poverty,Northern Province,Burera,,,19.9
2010,Percentage (%) of the population living in poverty,Northern Province,Gicumbi,,45,49.3
2010,Percentage (%) of the population living in extreme poverty,Northern Province,Gicumbi,,,33.9
2013,Percentage (%) of the population living in poverty,Northern Province,Gicumbi,,45,55.3
2013,Percentage (%) of the population living in extreme poverty,Northern Province,Gicumbi,,,24.7
2016,Percentage (%) of the population living in poverty,Northern Province,Gicumbi,,45,34.7
2016,Percentage (%) of the population living in extreme poverty,Northern Province,Gicumbi,,,13.4
2010,Percentage (%) of the population living in poverty,Eastern Province,Rwamagana,,51,30.4
2010,Percentage (%) of the population living in extreme poverty,Eastern Province,Rwamagana,,,12.4
2013,Percentage (%) of the population living in poverty,Eastern Province,Rwamagana,,51,25.4
2013,Percentage (%) of the population living in extreme poverty,Eastern Province,Rwamagana,,,8
2016,Percentage (%) of the population living in poverty,Eastern Province,Rwamagana,,51,18.9
2016,Percentage (%) of the population living in extreme poverty,Eastern Province,Rwamagana,,,4.8
2010,Percentage (%) of the population living in poverty,Eastern Province,Nyagatare,,52,37.8
2010,Percentage (%) of the population living in extreme poverty,Eastern Province,Nyagatare,,,19.1
2013,Percentage (%) of the population living in poverty,Eastern Province,Nyagatare,,52,44.1
2013,Percentage (%) of the population living in extreme poverty,Eastern Province,Nyagatare,,,19.5
2016,Percentage (%) of the population living in poverty,Eastern Province,Nyagatare,,52,44.8
2016,Percentage (%) of the population living in extreme poverty,Eastern Province,Nyagatare,,,20.1
2010,Percentage (%) of the population living in poverty,Eastern Province,Gatsibo,,53,43.1
2010,Percentage (%) of the population living in extreme poverty,Eastern Province,Gatsibo,,,18.8
2013,Percentage (%) of the population living in poverty,Eastern Province,Gatsibo,,53,43.8
2013,Percentage (%) of the population living in extreme poverty,Eastern Province,Gatsibo,,,18.5
2016,Percentage (%) of the population living in poverty,Eastern Province,Gatsibo,,53,42.1
2016,Percentage (%) of the population living in extreme poverty,Eastern Province,Gatsibo,,,18.8
2010,Percentage (%) of the population living in poverty,Eastern Province,Kayonza,,54,42.6
2010,Percentage (%) of the population living in extreme poverty,Eastern Province,Kayonza,,,19.2
2013,Percentage (%) of the population living in poverty,Eastern Province,Kayonza,,54,26.4
2013,Percentage (%) of the population living in extreme poverty,Eastern Province,Kayonza,,,9.5
2016,Percentage (%) of the population living in poverty,Eastern Province,Kayonza,,54,26.7
2016,Percentage (%) of the population living in extreme poverty,Eastern Province,Kayonza,,,8.5
2010,Percentage (%) of the population living in poverty,Eastern Province,Kirehe,,55,47.9
2010,Percentage (%) of the population living in extreme poverty,Eastern Province,Kirehe,,,25.6
2013,Percentage (%) of the population living in poverty,Eastern Province,Kirehe,,55,41.8
2013,Percentage (%) of the population living in extreme poverty,Eastern Province,Kirehe,,,17.8
2016,Percentage (%) of the population living in poverty,Eastern Province,Kirehe,,55,44.6
2016,Percentage (%) of the population living in extreme poverty,Eastern Province,Kirehe,,,18.5
2010,Percentage (%) of the population living in poverty,Eastern Province,Ngoma,,56,47.6
2010,Percentage (%) of the population living in extreme poverty,Eastern Province,Ngoma,,,22.3
2013,Percentage (%) of the population living in poverty,Eastern Province,Ngoma,,56,46.8
2013,Percentage (%) of the population living in extreme poverty,Eastern Province,Ngoma,,,19.5
2016,Percentage (%) of the population living in poverty,Eastern Province,Ngoma,,56,37.8
2016,Percentage (%) of the population living in extreme poverty,Eastern Province,Ngoma,,,14
2010,Percentage (%) of the population living in poverty,Eastern Province,Bugesera,,57,48.4
2010,Percentage (%) of the population living in extreme poverty,Eastern Province,Bugesera,,,28.3
2013,Percentage (%) of the population living in poverty,Eastern Province,Bugesera,,57,34.3
2013,Percentage (%) of the population living in extreme poverty,Eastern Province,Bugesera,,,13.4
2016,Percentage (%) of the population living in poverty,Eastern Province,Bugesera,,57,40.3
2016,Percentage (%) of the population living in extreme poverty,Eastern Province,Bugesera,,,17.8
2000,Percentage (%) of the population living in poverty,,,,,58.9
2005,Percentage (%) of the population living in poverty,,,,,56.7
2005,Percentage (%) of the population living in poverty,,,Urban,,28.5
2005,Percentage (%) of the population living in poverty,,,Rural,,61.9
2010,Percentage (%) of the population living in poverty,,,,,44.9
2010,Percentage (%) of the population living in poverty,,,Urban,,22.1
2010,Percentage (%) of the population living in poverty,,,Rural,,48.7
2013,Percentage (%) of the population living in poverty,,,,,39.1
2013,Percentage (%) of the population living in poverty,,,Urban,,15.7
2013,Percentage (%) of the population living in poverty,,,Rural,,43.8
2016,Percentage (%) of the population living in poverty,,,,,38.2
2016,Percentage (%) of the population living in poverty,,,Urban,,15.8
2016,Percentage (%) of the population living in poverty,,,Rural,,43.1
2000,Percentage (%) of the population living in extreme poverty,,,,,40
2005,Percentage (%) of the population living in extreme poverty,,,,,35.8
2005,Percentage (%) of the population living in extreme poverty,,,Urban,,16
2005,Percentage (%) of the population living in extreme poverty,,,Rural,,39.5
2010,Percentage (%) of the population living in extreme poverty,,,,,24.1
2010,Percentage (%) of the population living in extreme poverty,,,Urban,,10.4
2010,Percentage (%) of the population living in extreme poverty,,,Rural,,26.4
2013,Percentage (%) of the population living in extreme poverty,,,,,16.3
2013,Percentage (%) of the population living in extreme poverty,,,Urban,,5.5
2013,Percentage (%) of the population living in extreme poverty,,,Rural,,18.5
2016,Percentage (%) of the population living in extreme poverty,,,,,16
2016,Percentage (%) of the population living in extreme poverty,,,Urban,,5.9
2016,Percentage (%) of the population living in extreme poverty,,,Rural,,18.1
